Venue,Latitude,Longitude,Venue Category
Benny's Restaurant,38.95877663427816,-76.9397266866522,Chinese Restaurant
Teppanyaki Grill & Supreme Buffet,38.964324492328984,-76.84661314485382,Chinese Restaurant
Twin Dragon Carry Out,38.956773720154146,-77.01613683524211,Chinese Restaurant
New Century Chinese Food,38.95604704004095,-76.96214191322741,Chinese Restaurant
Golden House,38.99171824556482,-77.02691730249308,Chinese Restaurant
Palais De Lune,38.992595,-77.049008,Chinese Restaurant
Asian Carry Out,38.984805073206545,-76.9668754502575,Chinese Restaurant
Blue Pearl Buffet,38.997065497538955,-77.02609091079411,Asian Restaurant
Mayflower Chinese Restaurant & Carryout,38.94722281783631,-77.07927284854794,Chinese Restaurant
Chinatown,38.989182,-76.989755,Chinese Restaurant
hunan hut,38.989765999999996,-76.986035,Chinese Restaurant
Lucky Ginger,38.978876,-77.026203,Chinese Restaurant
Mayflower Chinese Restaurant & Carryout,39.00889031769331,-77.04055569822458,Chinese Restaurant
China Hut,38.97714105852118,-77.02644265141733,Chinese Restaurant
China America Inn,38.94204636637732,-77.02481757739467,Chinese Restaurant
Full Yum,38.949109751843615,-76.99274259339019,Chinese Restaurant
Eastern Carry Out,38.975699,-76.994444,Chinese Restaurant
Hunan City Chinese Restaurant,39.009456,-77.040082,Chinese Restaurant
Seven Stars Chinese Restaurant,38.971482468685544,-76.9799985663959,Chinese Restaurant
China Taste,38.965639,-77.02722,Chinese Restaurant
George's Carry Out,38.950423,-77.027509,Chinese Restaurant
Beijing Delight Carry Out,38.997690999999996,-77.003848,Chinese Restaurant
No. 1 China,38.986961181150946,-76.98826734002189,Chinese Restaurant
China Sub Shop,38.96176814944814,-76.99385324477574,Chinese Restaurant
Wonder Chicken,38.965078,-77.027997,Chinese Restaurant
Hunan Chinese Carry-out,38.95998863920681,-76.99924650264276,Chinese Restaurant
Dannie's Carry Out,38.94174582848368,-77.0245962914808,Chinese Restaurant
Beijing Delight,38.99779542381237,-77.00335780875722,Chinese Restaurant
Hunan Delight,38.94134338035955,-77.00076453141904,Chinese Restaurant
Eddie's Carryout,38.98342,-77.02684,Chinese Restaurant
Hearty's,38.9485480102101,-76.96825819347458,Chinese Restaurant
Szechuan Delight,38.99116,-76.988152,Chinese Restaurant
Simon's Wok And Grill,38.956355,-77.027832,Chinese Restaurant
Johnny's,38.945438404181786,-76.97781034116659,Chinese Restaurant
Andy's,38.951065,-77.026937,Chinese Restaurant
