Venue,Latitude,Longitude,Venue Category
7-Eleven,39.02907736763798,-77.38903105258942,Convenience Store
7-Eleven,39.0502728,-77.3790547,Convenience Store
7-Eleven,39.0252698,-77.4041052,Convenience Store
Shell,39.050269300422215,-77.37929492237208,Convenience Store
7-Eleven,39.0359487826619,-77.4106335639953,Convenience Store
Walgreens,38.98232771095209,-76.72887291770166,Convenience Store
7-Eleven,38.9869050102819,-76.7583203315734,Convenience Store
Dollar Tree,38.945909096719156,-76.73598221357696,Discount Store
7-Eleven,38.9834522,-76.7298719,Convenience Store
Dollar Tree,38.982944033024765,-76.7305233823555,Discount Store
Shell,38.97045494346583,-76.76548472610648,Convenience Store
Shell,38.9912768,-76.83206,Convenience Store
Shell,38.986651251301836,-76.75824297593863,Convenience Store
CVS pharmacy,38.98516911788966,-76.75845027475349,Convenience Store
Bowie Shell,38.97928028994799,-76.73356354236603,Convenience Store
Highland village market,38.97262503953111,-76.7707981751418,Convenience Store
Harbour Way Vape,38.94904763681807,-76.71898358100593,Gas Station
Town Center Market,38.962403071802434,-76.93468929439794,Convenience Store
7-Eleven,38.9983816,-76.9247382,Convenience Store
Dollar Tree,38.964160044630944,-76.84448397564887,Discount Store
7-Eleven,38.99772,-76.91418,Convenience Store
Dollar Tree,38.99264913301734,-76.87755608304381,Discount Store
7-Eleven,38.9421303,-76.9343923,Convenience Store
7-Eleven,38.963237966658,-76.8565213680267,Convenience Store
CVS pharmacy,38.94814397111385,-76.88757529897323,Convenience Store
7-Eleven,38.97359613869,-76.8451702594757,Convenience Store
7-Eleven,38.9605923964472,-76.9401727616786,Convenience Store
7-Eleven,38.94935,-76.88647,Convenience Store
Royal Farms,38.99178293156297,-76.93359303432335,Convenience Store
Shell,38.99760924,-76.91163192,Convenience Store
7-Eleven,38.9778791035456,-76.9375374913215,Convenience Store
7-Eleven,38.9957202649126,-76.9324138015508,Convenience Store
7-Eleven,39.0156597231432,-76.9217473268508,Convenience Store
7-Eleven,38.9419331,-76.9026342,Convenience Store
7-Eleven,38.9618927738107,-76.8631786108016,Convenience Store
7-Eleven,38.96519776528178,-76.84238497524512,Convenience Store
Dollar Tree,38.939785655989105,-76.90556868509557,Discount Store
7-Eleven,38.9954649016891,-76.9024461507797,Convenience Store
7-Eleven,38.9561029391332,-76.9219739735126,Convenience Store
7-Eleven,38.99131433838356,-76.83385401964188,Convenience Store
Shell,38.990916155024436,-76.85765594243998,Convenience Store
Dollar Tree,38.963750860333874,-76.92009344266646,Discount Store
7-Eleven,38.939399,-76.923911,Convenience Store
7-Eleven,38.9535520080989,-76.8784242868423,Convenience Store
Shell,38.99832491715575,-76.91607177257538,Convenience Store
7-Eleven,38.9805688565398,-76.8675586581231,Convenience Store
Shell,38.96497163173333,-76.84432310993543,Convenience Store
Shell,39.000980542298514,-76.91006764769554,Convenience Store
7-Eleven,38.9571754290736,-76.8694089800283,Convenience Store
7-Eleven,38.939044,-76.93433,Convenience Store
Shell,38.9560557,-76.8717947,Convenience Store
Shell,39.0075798651789,-76.92993975247646,Convenience Store
7-Eleven,38.9812819367101,-76.9385969638824,Convenience Store
Shell,38.9391359,-76.93573085,Convenience Store
One Stop Shop UMD,38.981751,-76.937181,Convenience Store
Newsstand,38.96951296162575,-76.95271888519781,Convenience Store
El Cordobes,39.017094,-76.919862,Convenience Store
Dollar City,38.93928236677785,-76.92400929121214,Convenience Store
Centerway Mini Mart,39.001115000000006,-76.876623,Convenience Store
Campus Essentials (Courtyards),39.00115980382682,-76.94247007369995,Convenience Store
Campus Essentials (Mazza Grandmarc),39.01077,-76.930743,Convenience Store
BRBean,38.988977324461096,-76.94256663322449,Convenience Store
Shirlina Shine,38.9825694,-76.86238929999999,Convenience Store
gateway convient store,38.984409,-76.949668,Convenience Store
J&J International Food Store,38.973335999999996,-76.84638199999999,Convenience Store
P.G. News,38.96835,-76.955999,Convenience Store
7 days beer,38.94020322265866,-76.92420626352637,Convenience Store
Dollar + Store,38.970255956889766,-76.95581340189653,Convenience Store
CVS pharmacy,38.993854948470876,-76.87594904239319,Convenience Store
7-Eleven,38.9528938732406,-76.9552145107218,Convenience Store
Wawa,38.948575,-77.079114,Convenience Store
7-Eleven,38.94477774520796,-76.9725463539362,Convenience Store
7-Eleven,38.9578160230934,-76.986550390717,Convenience Store
7-Eleven,38.9978037859238,-77.031632065773,Convenience Store
7-Eleven,38.9953272,-77.0298121,Convenience Store
7-Eleven,39.0202559270117,-77.0133128867928,Convenience Store
7-Eleven,38.9943803,-77.0272881,Convenience Store
7-Eleven,38.9927298516644,-76.9925583153963,Convenience Store
Dollar Tree,38.985168313253,-76.9816936947791,Discount Store
7-Eleven,38.9860479,-77.0270676,Convenience Store
7-Eleven,38.94546118392599,-76.97829199974876,Convenience Store
7-Eleven,38.9842373,-76.9786401,Convenience Store
Rite Aid,38.99791395205438,-77.02980567676438,Convenience Store
Dollar Tree,38.94593322621799,-76.97777353202451,Discount Store
7-Eleven,39.0002419522188,-76.9949586689609,Convenience Store
7-Eleven,39.0044208023493,-76.9687150385881,Convenience Store
Shell,38.961422,-76.99645600000001,Gas Station
7-Eleven,38.9983457623252,-77.0044907927513,Convenience Store
7-Eleven,38.9882334,-76.9873184,Convenience Store
7-Eleven,38.956019508663,-77.000576108694,Convenience Store
7-Eleven,38.9620220802792,-76.9932731240987,Convenience Store
7-Eleven,38.9695673296893,-76.9765797257423,Convenience Store
Tenley Mini Market,38.94529332489054,-77.07852856926228,Convenience Store
7-Eleven,38.952847146223434,-77.00191648928018,Convenience Store
Shell,38.99814462,-77.00195801,Convenience Store
7-Eleven,38.9630189835163,-77.0106866955758,Convenience Store
Shell,38.95565682857918,-76.96306393419971,Convenience Store
7-Eleven,38.9514160802543,-76.966084241867,Convenience Store
7-Eleven,38.9796629007608,-77.0259115844964,Convenience Store
Shell,38.98462965278012,-76.96944928728954,Convenience Store
7-Eleven,38.9562634,-76.9626886,Convenience Store
Shell,38.968119,-77.027053,Convenience Store
7-Eleven,38.9454056566767,-77.0778299869198,Convenience Store
Shell,38.98262884632599,-76.97959184646606,Convenience Store
7-Eleven,38.9905285471562,-77.0235987354226,Convenience Store
Shell,38.940045,-77.025472,Convenience Store
Four Corner Shell,39.02007380778247,-77.01397261587317,Convenience Store
7-Eleven,39.0065957981584,-76.9810107350349,Convenience Store
Shell,38.95446,-77.06983,Convenience Store
7-Eleven,38.9917666864377,-77.0272616270267,Convenience Store
7-Eleven,38.9410562,-77.000587,Convenience Store
Shell,38.96523459,-77.00241242,Convenience Store
Food Barn,38.965278,-77.027115,Convenience Store
Fourth Street Market,38.97384011199986,-77.01823711395264,Convenience Store
Falcon Oil,38.99340038834163,-76.99250838410106,Convenience Store
Walgreens,38.95764,-77.02865,Convenience Store
4Corner Beer & Wine,38.956427,-77.019563,Convenience Store
Rainbow Market,38.956352507982366,-77.02212969083193,Convenience Store
Mercadito ramos 2,38.991318,-76.988603,Convenience Store
university liquor,38.941270470645556,-77.00066118958759,Convenience Store
Saver Grocery,38.94608012567943,-77.0247782154696,Convenience Store
U Hail Moving & Storage,38.985058,-76.98696,Convenience Store
TWIN TOWERS MARKET,38.996148,-77.029201,Convenience Store
Exxon Tiger Mart Conn Ave / Nebraska,38.96072,-77.079234,Convenience Store
Maxway,38.95804406742943,-76.98597801472141,Convenience Store
Silver Spring Mart,38.992079,-77.02362099999999,Convenience Store
Brightwood Supermarket,38.956479632311456,-77.01173803127637,Convenience Store
Corner Market and Pharmacy,38.992449,-77.048854,Convenience Store
77 Market,38.942674,-77.02492,Convenience Store
Walgreens,39.00371178630936,-76.97010102516595,Convenience Store
4 U Convenient Mart,38.9927121475511,-77.00974805431441,Convenience Store
Move and Groove,38.952588,-77.027297,Convenience Store
Town & Country Market,38.942137,-77.024292,Convenience Store
Cooks Supermarket,39.02077,-77.012251,Convenience Store
Summit Hills Mini Mart,38.998606,-77.04011,Convenience Store
Gold Corner,38.95643,-77.032664,Convenience Store
Value Dollar,39.00395548730031,-76.9704297132855,Convenience Store
Bless 7 to 10 Market,38.94001699901158,-77.01894263728286,Deli / Bodega
4 Seasons Convenience,38.94965812711697,-76.99299924256493,Convenience Store
Metro Convenience Store,38.992248051570996,-77.03101551508854,Convenience Store
Kennedy Market,38.956255,-77.019422,Convenience Store
M&S Liquor and Grocery,38.942464,-77.01434,Convenience Store
Shell,39.01045993581542,-77.04134434461594,Convenience Store
7-Eleven,38.9400251165083,-77.0256158709526,Convenience Store
Shell,38.94150905268579,-77.02570912468555,Convenience Store
CVS pharmacy,38.94941137219828,-77.08004359876064,Convenience Store
7-Eleven,38.9693557,-77.1386046,Convenience Store
Shell,38.96343296536198,-77.10211783647537,Convenience Store
Shell,38.98626790180713,-77.09707246488676,Convenience Store
R&W Gift Shop,39.000956412745985,-77.10095886844171,Convenience Store
Promenade Market,39.01683510711538,-77.10712346445436,Convenience Store
News Express,38.98993898371346,-77.09758549985231,Convenience Store
Langley Mart,38.946108942819954,-77.1574051400115,Convenience Store
Captin's Market,38.973637,-77.15567800000001,Convenience Store
Crescent Convenience,38.984413566344514,-77.09383249282835,Convenience Store
Cafe Promenade,39.016907719266065,-77.1066397717932,Convenience Store
7-Eleven,38.9887446612118,-77.0954085588619,Convenience Store
7-Eleven,38.96353237627,-77.1025436371564,Convenience Store
Shell,38.95351485,-77.08236819,Convenience Store
7-Eleven,38.9986886644812,-77.2895217686891,Convenience Store
7-Eleven,38.9763028127056,-77.3092249141519,Convenience Store
